subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
1,word,0,1,0,0.0,87,87,2,1,8,3.91696111473721,3.91694843734149,6,3,3
1,not studied,1,1,0,0.0,88,88,1,9,9,0.0,0.0,6,fNS,fNS
1,not studied,1,0,1,0.0,89,89,1,9,4,0.0,3.91697167925304,6,fNS,0
1,cfs,1,1,0,0.0,90,90,3,1,1,1.58357284596423,1.25026547111338,6,3,3
1,word,1,1,0,0.0,91,91,2,8,8,3.9169508520863,3.9169837529771,6,3,3
1,word,1,1,1,1.0,92,92,2,1,8,3.91696564242011,3.91695296496619,6,3,3
1,binocular,1,1,1,1.0,93,93,4,8,1,3.91695779445581,3.91696684976341,6,3,3
1,cfs,0,1,1,1.0,94,94,3,1,1,1.33357239316683,1.16688416246325,6,3,3
1,not studied,1,0,1,0.0,95,95,1,4,4,3.91694934287807,3.91695930366404,6,0,0
1,binocular,1,1,1,1.0,96,96,4,1,1,3.91694722993998,3.91694783366984,6,3,3
1,binocular,1,1,0,0.0,97,97,4,1,8,3.91694964468479,3.91695326677291,7,3,3
1,word,1,0,1,0.0,98,98,2,1,8,3.91695571696619,3.91695537976921,7,3,3
1,binocular,1,1,0,0.0,99,99,4,8,8,3.9169656423619,3.9169565870543,7,3,3
1,not studied,0,0,1,0.0,100,100,1,4,4,3.91696564242011,3.91694904101314,7,0,0
1,not studied,0,1,0,0.0,101,101,1,0,9,3.91697107558139,0.0,7,NR,fNS
1,cfs,1,1,1,1.0,102,102,3,1,1,1.83357178949518,1.08356107404688,7,3,3
1,cfs,0,0,1,0.0,103,103,3,8,1,2.00024388934253,1.3335630359943,7,3,3
1,word,0,1,1,1.0,104,104,2,8,8,3.91696202027379,3.91695387050277,7,3,3
1,cfs,0,1,1,1.0,105,105,3,8,1,1.0835544335423,1.08355382981244,7,3,3
1,binocular,1,1,1,1.0,106,106,4,1,8,3.9169550778460702,3.91695447417442,7,3,3
1,cfs,1,1,0,0.0,107,107,3,8,8,1.16690482094418,1.33356001757784,7,3,3
1,not studied,1,0,1,0.0,108,108,1,9,4,0.0,3.91695809632074,7,fNS,0
1,binocular,1,1,1,1.0,109,109,4,8,8,3.91697999765165,3.91695115389302,7,3,3
1,not studied,1,1,0,0.0,110,110,1,4,4,3.91695024841465,3.91697771608597,7,0,0
1,word,1,1,0,0.0,111,111,2,1,1,3.91695658711251,3.9169520594296,7,3,3
1,word,1,1,0,0.0,112,112,2,1,1,3.9169508520863,3.91695296502439,7,3,3
1,not studied,0,0,1,0.0,113,113,1,9,1,0.0,3.9169644350186,8,fNS,3
1,word,1,1,1,1.0,114,114,2,8,1,3.91695930372225,3.91695447417442,8,3,3
1,cfs,1,1,1,1.0,115,115,3,1,1,1.41689953871537,1.16689576563658,8,3,3
1,binocular,1,1,0,0.0,116,116,4,1,1,3.91696020920062,3.91696775529999,8,3,3
1,not studied,1,0,1,0.0,117,117,1,9,9,0.0,0.0,8,fNS,fNS
1,word,1,1,0,0.0,118,118,2,1,1,3.91696111473721,3.91696232213872,8,3,3
1,cfs,1,1,0,0.0,119,119,3,8,8,1.33358295768267,1.16701137163909,8,3,3
1,binocular,1,1,1,1.0,120,120,4,1,1,3.91697620687773,3.91695839812746,8,3,3
1,binocular,1,1,1,1.0,121,121,4,8,8,3.91695055022137,3.91696413315367,8,3,3
1,cfs,1,1,1,1.0,122,122,3,1,1,2.00024932250381,3.00027165893698,8,3,3
1,not studied,0,1,0,0.0,123,123,1,9,9,0.0,0.0,8,fNS,fNS
1,not studied,0,0,0,1.0,124,124,1,4,9,3.9169644350186,0.0,8,0,fNS
1,word,1,1,1,1.0,125,125,2,1,1,3.91697318846127,3.91695236129453,8,3,3
1,word,0,1,0,0.0,126,126,2,1,1,3.91695869999239,3.91697107558139,8,3,3
1,binocular,0,1,1,1.0,127,127,4,8,8,3.91694843728328,3.91697318846127,8,3,3
1,cfs,1,1,1,1.0,128,128,3,8,1,1.33355820656288,1.16693530714838,8,3,3
2,cfs,0,1,0,0.0,1,1,3,6,7,2.33374475534947,1.6670134927117,1,1,2
2,not studied,1,0,1,0.0,8,2,1,9,4,0.0,3.91719158441265,1,fNS,0
2,not studied,0,0,0,1.0,2,3,1,9,9,0.0,0.0,1,fNS,fNS
2,word,0,1,0,0.0,7,4,2,8,8,3.9172003380736,3.9172078843294,1,3,3
2,cfs,1,1,1,1.0,6,5,3,7,7,1.66702013341637,1.58367472606915,1,2,2
2,binocular,1,1,1,1.0,5,6,4,1,8,3.91720486582926,3.91719882882171,1,3,3
2,binocular,1,1,1,1.0,3,7,4,8,8,3.91720154547511,3.9171985269677,1,3,3
2,word,0,1,1,1.0,4,8,2,1,1,3.91719641401869,3.917203054727,1,3,3
2,binocular,0,1,0,0.0,12,9,4,8,8,3.91719007516076,3.91720063992398,1,3,3
