subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
2,binocular,0,1,0,0.0,60,61,4,0,8,3.91719188625939,3.91718977331038,4,NR,3
2,word,1,0,1,0.0,57,62,2,8,2,3.91719852697133,3.9171882640585,4,3,2
2,not studied,0,1,0,0.0,64,63,1,9,4,0.0,3.91719611216831,4,fNS,0
2,binocular,1,1,0,0.0,58,64,4,1,1,3.91719822512096,3.91719188626303,4,3,3
2,not studied,1,0,1,0.0,66,65,1,4,4,3.91719460291279,0.0835319508587418,5,0,0
2,binocular,0,1,1,1.0,70,67,4,1,1,3.91719430106605,3.91719007516076,5,3,3
2,word,0,1,0,0.0,68,68,2,1,8,3.91720245102624,3.91720003622322,5,3,3
2,not studied,0,1,0,0.0,67,69,1,9,9,0.0,0.0,5,fNS,fNS
2,binocular,1,1,0,0.0,72,70,4,1,2,3.91719399921567,3.91722176944677,5,3,2
2,word,1,1,1,1.0,65,71,2,7,1,3.91719158441265,3.91719460291642,5,2,3
2,cfs,0,1,0,0.0,71,72,3,3,6,2.41707567388221,1.58364894459737,5,1,1
2,word,1,1,1,1.0,80,73,2,1,1,3.91718735850736,3.91724863412674,5,3,3
2,binocular,1,1,0,0.0,73,74,4,1,1,3.91720003621958,3.91719369736529,5,3,3
2,word,0,0,1,0.0,76,75,2,1,1,3.91721029913242,3.91719913067209,5,3,3
2,binocular,1,1,0,0.0,74,76,4,1,1,3.9172003380736,3.91719128256227,5,3,3
2,not studied,0,1,0,0.0,75,77,1,4,9,3.91719188626303,0.0,5,0,fNS
2,not studied,1,1,0,0.0,78,78,1,4,4,3.91719520661718,3.91719822511732,5,0,0
2,not studied,1,0,0,1.0,83,81,1,9,9,0.0,0.0,6,fNS,fNS
2,word,1,1,1,1.0,88,82,2,8,8,3.91720396027449,3.91720637508115,6,3,3
2,binocular,0,1,1,1.0,85,83,4,8,8,3.91719188626303,3.9171921881134,6,3,3
2,binocular,1,1,0,0.0,86,84,4,8,1,3.91719128256227,3.91719701771581,6,3,3
2,word,1,1,1,1.0,82,86,2,1,1,3.91720335657737,3.91719098071189,6,3,3
2,not studied,0,0,0,1.0,84,87,1,9,4,0.0,3.91719369736529,6,fNS,0
2,not studied,0,0,0,1.0,93,89,1,4,4,3.91720788433304,3.91719369736529,6,0,0
2,binocular,1,1,0,0.0,90,90,4,8,7,3.91719399921203,3.91719037701114,6,3,2
2,word,1,1,0,0.0,89,91,2,1,1,3.91719973437284,3.91719128256227,6,3,3
2,word,0,1,0,0.0,95,94,2,1,8,3.91719822512096,3.91719339551491,6,3,3
2,not studied,1,0,1,0.0,96,95,1,9,4,0.0,3.91718796220812,6,fNS,0
2,binocular,0,1,1,1.0,94,96,4,1,1,3.91718977331038,3.91719188626303,6,3,3
2,not studied,1,0,1,0.0,99,98,1,9,4,0.0,3.91720848803379,7,fNS,0
2,word,0,1,0,0.0,101,100,2,8,1,3.91719581031794,3.91719399921567,7,3,3
2,word,0,0,1,0.0,100,101,2,8,8,3.91720275287298,3.9171949047668,7,3,3
2,binocular,0,1,0,0.0,102,102,4,1,1,3.91720305472336,3.91719098071189,7,3,3
2,binocular,1,1,1,1.0,103,103,4,8,8,3.91719309366454,3.91719309366454,7,3,3
2,not studied,0,1,1,1.0,97,104,1,9,9,0.0,0.0,7,fNS,fNS
2,binocular,1,1,1,1.0,107,105,4,8,8,3.91719399921567,3.91718947146001,7,3,3
